Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.57258,543.1690296861278,386.51718996901303,385.3785760198558,7.57258,-0.09407353992613654
1.0,7.57816,543.2240625136925,388.3823144765642,387.23944842366745,7.57816,-0.08849363297505342
2.0,7.57914,543.2790953412572,390.24706111912565,389.0999438239445,7.57862,-0.08803381359132256
3.0,7.58338,543.3341281688218,392.1114300115122,390.96006233524014,7.57914,-0.08751408081190792
4.0,7.57862,543.3891609963866,393.9754212685018,392.8198040720705,7.57914,-0.087514430468012
5.0,7.58048,543.4441938239513,395.839035004814,394.67916914889366,7.58048,-0.08617486724014789
6.0,7.57412,543.499226651516,397.70227133512907,396.53815768012845,7.58004,-0.08661538930034585
7.0,7.58082,543.5542594790807,399.5651303740841,398.39676978015063,7.58004,-0.08661600289888316
8.0,7.58004,543.6092923066453,401.42761223625973,400.25500556327955,7.57925,-0.08740670145231721
9.0,7.57925,543.66432513421,403.28971703619976,402.112865143798,7.57925,-0.08740748572818102
10.0,7.57356,543.7193579617747,405.15144488839815,403.97034863593876,7.57821,-0.08844835650383143
11.0,7.57173,543.7743907893395,407.01279590730314,405.8274561538892,7.57821,-0.08844931937072253
12.0,7.57821,543.8294236169041,408.87377020730906,407.684187811783,7.57786,-0.0888003761267866
13.0,7.58125,543.8844564444688,410.73436790277754,409.5405437237208,7.57786,-0.08880152040766642
14.0,7.57786,543.9394892720335,412.5945891080116,411.39652400374524,7.57786,-0.08880274922605658
15.0,7.57461,543.9945220995982,414.4544339372775,413.25212876586204,7.57589,-0.09077406591555803
16.0,7.5725,544.0495549271628,416.3139025047916,415.10735812402714,7.57589,-0.09077547367059857
17.0,7.57589,544.1045877547275,418.1729949247204,416.96221219214675,7.57589,-0.09077697456478173
18.0,7.57914,544.1596205822922,420.031711311187,418.81669108408386,7.57702,-0.08964856526993703
19.0,7.57702,544.214653409857,421.8900517782777,420.6707949136646,7.57733,-0.08934024259385254
20.0,7.57942,544.2696862374216,423.74801644000934,422.52452379464586,7.57914,-0.08753200862167088
21.0,7.57733,544.3247190649863,425.6056054103771,424.37787784076306,7.57942,-0.0872538609963911
22.0,7.5816,544.379751892551,427.4628188033155,426.23085716569085,7.57967,-0.08700580177393658
23.0,7.57967,544.4347847201157,429.31965673271776,428.08346188306285,7.57967,-0.08700782675883101
24.0,7.58061,544.4898175476803,431.17611931243374,429.93569210646933,7.57967,-0.08700993785057509
25.0,7.57925,544.544850375245,433.0322066562614,431.7875479494488,7.57925,-0.08743213412712869
26.0,7.57542,544.5998832028098,434.8879188779617,433.63902952550296,7.57542,-0.09126441692760512
27.0,7.57514,544.6549160303745,436.74325609123485,435.4901369480728,7.57542,-0.09126679001785565
28.0,7.57444,544.7099488579391,438.59821840974655,437.34087033056477,7.57542,-0.09126925367526173
29.0,7.57557,544.7649816855038,440.45280594711465,439.1912297863378,7.57557,-0.09112180858982999
30.0,7.5758,544.8200145130685,442.3070188169114,441.04121542870513,7.5758,-0.09089445365404636
31.0,7.57865,544.8750473406332,444.16085713265943,442.89082737093065,7.57819,-0.08850718864454521
32.0,7.57819,544.9300801681978,446.0143210078399,444.7400657262368,7.57865,-0.08805001076345675
33.0,7.58059,544.9851129957626,447.86741055588857,446.5889306078007,7.58015,-0.08655292046564345
34.0,7.58105,545.0401458233273,449.72012589018914,448.4374221287476,7.58015,-0.08655591539481478
35.0,7.58015,545.095178650892,451.5724671240819,450.2855404021594,7.58015,-0.086558995101635
36.0,7.57916,545.1502114784566,453.42443437086825,452.1332855410791,7.57916,-0.08755216047396264
37.0,7.57569,545.2052443060213,455.2760277437952,453.98065765849566,7.57916,-0.08755541248808285
38.0,7.57664,545.260277133586,457.12724735606866,455.8276568673568,7.57916,-0.08755875455706175
39.0,7.58061,545.3153099611507,458.97809332084677,457.67428328056275,7.57836,-0.08836218575080945
40.0,7.57983,545.3703427887154,460.82856575124873,459.52053701097475,7.57836,-0.08836570217074957
41.0,7.57836,545.4253756162801,462.67866476033294,461.36641817139355,7.57836,-0.08836930458714143
42.0,7.57792,545.4804084438448,464.52839046112314,463.2119268745851,7.57792,-0.0888129944484124
43.0,7.5767,545.5354412714095,466.3777429665997,465.0570632332724,7.5767,-0.09003677219059991
44.0,7.57598,545.5904740989741,468.226722389691,466.9018273601261,7.57598,-0.09076063901623588
45.0,7.5731,545.6455069265388,470.0753288432841,468.7462193677761,7.57598,-0.09076459563651262
46.0,7.57479,545.7005397541035,471.9235624402163,470.5902393688024,7.57598,-0.09076864488412628
47.0,7.57842,545.7555725816682,473.77142329328365,472.43388747574386,7.57728,-0.08947278510322132
48.0,7.57728,545.810605409233,475.61891151523884,474.27716380109615,7.57841,-0.08834701273121581
49.0,7.57888,545.8656382367976,477.466027218776,476.1200684572965,7.57842,-0.08834132889256185
50.0,7.57841,545.9206710643623,479.3127705165568,477.9626015567497,7.57841,-0.08835573201906222
51.0,7.57873,545.975703891927,481.159141521195,479.80476321181277,7.57841,-0.08836022257696552
52.0,7.57778,546.0307367194916,483.0051403452592,481.6465535347977,7.57778,-0.08899480025616224
53.0,7.57639,546.0857695470563,484.85076710126555,483.48797263796416,7.57639,-0.09038946599478326
54.0,7.57606,546.140802374621,486.69602190169576,485.32902063353737,7.57639,-0.09039422116322449
55.0,7.57374,546.1958352021858,488.54090485898155,487.1696976336927,7.57639,-0.09039906609035775
56.0,7.57771,546.2508680297504,490.38541608550054,489.0100037505516,7.57755,-0.08924400305981006
57.0,7.57755,546.3059008573151,492.2295556935978,490.8499390962031,7.57771,-0.08908902817627418
58.0,7.58105,546.3609336848798,494.07332379557045,492.68950378268823,7.58105,-0.08575414160190054
59.0,7.58129,546.4159665124445,495.91672050366617,494.52869792199874,7.58105,-0.08575933990139806
60.0,7.58253,546.4709993400091,497.7597459300889,496.36752162608286,7.58105,-0.08576462284388509
61.0,7.57803,546.5260321675738,499.60240018699943,498.20597500684556,7.58001,-0.08680998921520011
62.0,7.57824,546.5810649951386,501.4446833865173,500.0440581761508,7.58001,-0.0868154434444941
63.0,7.58001,546.6360978227033,503.28659564069903,501.88177124579977,7.58001,-0.08682098533072757
64.0,7.58444,546.691130650268,505.12813706157743,503.7191143275697,7.58444,-0.08239661313957392
65.0,7.58569,546.7461634778326,506.969307761129,505.5560875331818,7.58569,-0.08115232252017712
66.0,7.58619,546.8011963053973,508.81010785128666,507.39269097431395,7.58619,-0.0806581122483685
67.0,7.58914,546.856229132962,510.6505374439423,509.2289247626029,7.58769,-0.07916398183785667
68.0,7.58769,546.9112619605266,512.4905966509378,511.0647890096355,7.58802,-0.07883992839100085
69.0,7.58961,546.9662947880914,514.3302855840741,512.9002838269577,7.58914,-0.07772595334088983
70.0,7.58802,547.0213276156561,516.1696043550998,514.7354093260635,7.58961,-0.07726205480348458
71.0,7.58973,547.0763604432208,518.0085530757244,516.5701656184079,7.58973,-0.07714823434992457
72.0,7.59001,547.1313932707855,519.8471318576168,518.4045528154048,7.59001,-0.07687449030297877
73.0,7.59017,547.1864260983501,521.6853408123909,520.2385710284141,7.59017,-0.07672082239311706
74.0,7.59423,547.2414589259148,523.5231800516221,522.0722203687563,7.5929,-0.07399723046902196
75.0,7.5929,547.2964917534795,525.3606496868402,523.9055009477074,7.59423,-0.07267371053836147
76.0,7.59478,547.3515245810441,527.1977498295314,525.7384128764992,7.5946,-0.07231026391766449
77.0,7.59532,547.4065574086089,529.0344805911344,527.5709562663164,7.59478,-0.07213688876132451
78.0,7.5946,547.4615902361736,530.8708420830379,529.4031312282938,7.59532,-0.07160358454378013
79.0,7.59576,547.5166230637383,532.7068344165962,531.2349378735316,7.59538,-0.07155035198102055
80.0,7.59565,547.571655891303,534.5424577031152,533.0663763130824,7.59565,-0.07128718993671157
81.0,7.59538,547.6266887188676,536.377712053854,534.8974466579513,7.59576,-0.07118409852596308
82.0,7.59939,547.6817215464323,538.2125975800277,536.7281490190998,7.59939,-0.06756107802161537
83.0,7.59959,547.736754373997,540.0471143928082,538.5584835074466,7.59959,-0.06736812447802443
84.0,7.60497,547.7917872015618,541.8812626033242,540.3884502338669,7.60389,-0.06307523770492374
85.0,7.60548,547.8468200291264,543.7150423226499,542.2180493091817,7.60392,-0.06305241240246673
86.0,7.60389,547.9018528566911,545.5484536618293,544.0472808441818,7.60461,-0.06236964807441936
