Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.54865,543.1690296861278,7.54865,-0.0011289058812566921
1.0,7.54932,543.2240625136925,7.54873,-0.0010489070096912911
2.0,7.54873,543.2790953412572,7.54885,-0.0009289091865953836
3.0,7.54885,543.3341281688218,7.54873,-0.00104891229202142
4.0,7.54772,543.3891609963866,7.54826,-0.0015189164459217253
5.0,7.54826,543.4441938239513,7.54781,-0.001968922118098071
6.0,7.54781,543.499226651516,7.54825,-0.0015289297583587214
7.0,7.54825,543.5542594790807,7.54781,-0.001968938926906638
8.0,7.54758,543.6092923066453,7.5477,-0.0020789500635567393
9.0,7.5477,543.66432513421,7.5477,-0.002078963278270507
10.0,7.54804,543.7193579617747,7.5477,-0.0020789785710624287
11.0,7.54693,543.7743907893395,7.54699,-0.0027889959419473698
12.0,7.54699,543.8294236169041,7.54693,-0.0028490161006242687
13.0,7.54663,543.8844564444688,7.54663,-0.003149039107083418
14.0,7.54639,543.9394892720335,7.54663,-0.0031490652612120584
15.0,7.54692,543.9945220995982,7.54685,-0.00292909456303736
16.0,7.54685,544.0495549271628,7.54692,-0.0028591267926874053
17.0,7.54883,544.1045877547275,7.54883,-0.0009491618802277557
18.0,7.54895,544.1596205822922,7.54883,-0.0009491979165341391
19.0,7.54813,544.214653409857,7.54813,-0.0016492349016434815
20.0,7.54795,544.2696862374216,7.54795,-0.0018292735352902767
21.0,7.54696,544.3247190649863,7.54773,-0.0020493139974355756
22.0,7.54773,544.379751892551,7.54703,-0.0027493565080209947
23.0,7.54703,544.4347847201157,7.54773,-0.002049401766777592
24.0,7.54881,544.4898175476803,7.5471,-0.002679449074062923
25.0,7.5471,544.544850375245,7.54807,-0.0017094990596424608
26.0,7.54807,544.5998832028098,7.54807,-0.0017095507539979238
27.0,7.54872,544.6549160303745,7.54836,-0.001419604157180565
28.0,7.54836,544.7099488579391,7.54872,-0.0010596589793685496
29.0,7.54958,544.7649816855038,7.54881,-0.0009697148607745731
30.0,7.54881,544.8200145130685,7.54958,-0.00019977171148877204
31.0,7.55039,544.8750473406332,7.55039,0.000610171238108137
32.0,7.55164,544.9300801681978,7.55039,0.0006101147976291799
33.0,7.55018,544.9851129957626,7.55106,0.0012800589670183271
34.0,7.55106,545.0401458233273,7.55018,0.00040000441595822167
35.0,7.54903,545.095178650892,7.55106,0.0012799502647409255
36.0,7.55114,545.1502114784566,7.54992,0.00013989739296516035
37.0,7.54992,545.2052443060213,7.55019,0.00040984466102855777
38.0,7.55019,545.260277133586,7.54992,0.00013979233877137176
39.0,7.54833,545.3153099611507,7.54865,-0.001130259843751702
40.0,7.54865,545.3703427887154,7.54833,-0.0014503131560612559
41.0,7.54645,545.4253756162801,7.54676,-0.0030203679180740295
42.0,7.54676,545.4804084438448,7.54676,-0.003020425699142848
43.0,7.54681,545.5354412714095,7.54681,-0.002970486499325631
44.0,7.54855,545.5904740989741,7.54818,-0.0016005502687059803
45.0,7.54818,545.6455069265388,7.54818,-0.0016006156379608782
46.0,7.54772,545.7005397541035,7.54818,-0.0016006826071555125
47.0,7.54915,545.7555725816683,7.54915,-0.0006307511763576912
48.0,7.55008,545.810605409233,7.54942,-0.0003608203760485651
49.0,7.54942,545.8656382367976,7.54982,3.911006359125224e-05
50.0,7.54982,545.9206710643623,7.54942,-0.00036095945767744553
51.0,7.54879,545.975703891927,7.54879,-0.0009910293397554781
52.0,7.54861,546.0307367194916,7.54861,-0.001171100212450149
53.0,7.54679,546.0857695470563,7.54679,-0.002991172255755181
54.0,7.54596,546.140802374621,7.54596,-0.003821247288933627
55.0,7.54513,546.1958352021858,7.54596,-0.0038213261416757405
56.0,7.54678,546.2508680297504,7.54678,-0.003001408814057527
57.0,7.54903,546.3059008573151,7.54783,-0.0019514944865433037
58.0,7.54783,546.3609336848798,7.54903,-0.000751582109693949
59.0,7.54926,546.4159665124445,7.54926,-0.0005216704841135567
60.0,7.54998,546.4709993400091,7.54926,-0.0005217593799873299
61.0,7.54852,546.5260321675738,7.54852,-0.0012618487974060955
62.0,7.54691,546.5810649951386,7.54691,-0.0028719394761429484
63.0,7.54607,546.6360978227033,7.54614,-0.0036420330255735323
64.0,7.54614,546.691130650268,7.54614,-0.0036421302154350244
65.0,7.54728,546.7461634778326,7.54656,-0.003222231045825197
66.0,7.54656,546.8011963053973,7.54701,-0.0027723350970392246
