,Pixels #,Intensity (a.u.),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.),Wavelength (nm)
0,0.0,7.6955,7.6955,-0.039850072602998665,543.3242081118856
1,1.0,7.69572,7.69572,-0.03963011226725488,543.3791697777551
2,2.0,7.69373,7.69373,-0.041620191377217175,543.4341314436248
3,3.0,7.69263,7.69263,-0.04272031191002501,543.4890931094943
4,4.0,7.6912,7.6912,-0.04415047495849134,543.5440547753639
5,5.0,7.6928,7.6928,-0.04255068194312095,543.5990164412334
6,6.0,7.69275,7.69275,-0.042600931274910714,543.6539781071031
7,7.0,7.69597,7.69597,-0.03938122300377511,543.7089397729726
8,8.0,7.69703,7.69703,-0.0383215539310493,543.7639014388421
9,9.0,7.69617,7.69617,-0.03918192300378642,543.8188631047117
10,10.0,7.69635,7.69635,-0.03900233107690365,543.8738247705813
11,11.0,7.69594,7.69594,-0.03941277797195131,543.9287864364509
12,12.0,7.69657,7.69657,-0.038783264096756476,543.9837481023204
13,13.0,7.69689,7.69689,-0.03846378882581458,544.03870976819
14,14.0,7.69669,7.69669,-0.03866435184166761,544.0936714340596
15,15.0,7.69562,7.69562,-0.03973495334361132,544.1486330999292
16,16.0,7.69599,7.69599,-0.03936559439541654,544.2035947657987
17,17.0,7.69569,7.69569,-0.03966627463009065,544.2585564316682
18,18.0,7.69587,7.69587,-0.03948699434638492,544.3135180975379
19,19.0,7.69398,7.69398,-0.04137775336616922,544.3684797634074
20,20.0,7.69346,7.69346,-0.04189855356793082,544.423441429277
21,21.0,7.69165,7.69165,-0.04370939546903507,544.4784030951465
22,22.0,7.69183,7.69183,-0.04353028086819233,544.5333647610162
23,23.0,7.68925,7.68925,-0.04611120958749915,544.5883264268857
24,24.0,7.69345,7.69345,-0.04191218419013154,544.6432880927553
25,25.0,7.69463,7.69463,-0.040733200505637335,544.6982497586248
26,26.0,7.69635,7.69635,-0.03901425736277098,544.7532114244945
27,27.0,7.69429,7.69429,-0.041075353053653174,544.808173090364
28,28.0,7.69489,7.69489,-0.04047648962607475,544.8631347562335
29,29.0,7.69485,7.69485,-0.04051766648507282,544.9180964221031
30,30.0,7.69337,7.69337,-0.041998883671553244,544.9730580879727
31,31.0,7.69332,7.69332,-0.04205014265701035,545.0280197538423
32,32.0,7.69663,7.69663,-0.038741443492359195,545.0829814197118
33,33.0,7.69356,7.69356,-0.041812782890354505,545.1379430855814
34,34.0,7.69506,7.69506,-0.040314163902447575,545.192904751451
35,35.0,7.69214,7.69214,-0.043235585039822055,545.2478664173206
36,36.0,7.69682,7.69682,-0.03855704920459235,545.3028280831901
37,37.0,7.69397,7.69397,-0.041408551748765454,545.3577897490596
38,38.0,7.6959,7.6959,-0.039480095505453505,545.4127514149293
39,39.0,7.69411,7.69411,-0.041271678558708835,545.4677130807988
40,40.0,7.69497,7.69497,-0.040413302688495634,545.5226747466684
41,41.0,7.69491,7.69491,-0.040474967042032794,545.5776364125379
42,42.0,7.69345,7.69345,-0.04193667168058113,545.6325980784076
43,43.0,7.69593,7.69593,-0.03945841805625516,545.6875597442771
44,44.0,7.6951,7.6951,-0.04029020370693459,545.7425214101467
45,45.0,7.69718,7.69718,-0.038212029459043784,545.7974830760162
46,46.0,7.69491,7.69491,-0.040483893247674096,545.8524447418858
47,47.0,7.69466,7.69466,-0.040735797330158086,545.9074064077554
48,48.0,7.69745,7.69745,-0.037947741956754655,545.9623680736249
49,49.0,7.69806,7.69806,-0.03733972435722688,546.0173297394945
50,50.0,7.69842,7.69842,-0.03698174392734721,546.0722914053641
51,51.0,7.695,7.695,-0.04040380031134827,546.1272530712337
52,52.0,7.6939,7.6939,-0.04150589690960249,546.1822147371032
53,53.0,7.69393,7.69393,-0.0414780348169943,546.2371764029728
54,54.0,7.69425,7.69425,-0.04116021400583758,546.2921380688424
55,55.0,7.69507,7.69507,-0.040342434160393736,546.347099734712
56,56.0,7.69505,7.69505,-0.04036469446820945,546.4020614005815
57,57.0,7.69765,7.69765,-0.037766994951393684,546.457023066451
58,58.0,7.69607,7.69607,-0.03934933302878818,546.5119847323207
59,59.0,7.69364,7.69364,-0.04178171027271471,546.5669463981902
60,60.0,7.6939,7.6939,-0.04152412909972725,546.6219080640598
61,61.0,7.69516,7.69516,-0.040266589253936225,546.6768697299293
62,62.0,7.69613,7.69613,-0.039299089486008576,546.731831395799
63,63.0,7.69529,7.69529,-0.04014162883466543,546.7867930616685
64,64.0,7.69539,7.69539,-0.040044208137020476,546.841754727538
65,65.0,7.69559,7.69559,-0.03984682729627398,546.8967163934076
66,66.0,7.69301,7.69301,-0.04242948611631281,546.9516780592772
67,67.0,7.69357,7.69357,-0.041872187162857344,547.0066397251468
68,68.0,7.69338,7.69338,-0.04206492988230348,547.0616013910163
69,69.0,7.69403,7.69403,-0.041417714466108535,547.1165630568859
70,70.0,7.69655,7.69655,-0.0389005402713245,547.1715247227555
71,71.0,7.69653,7.69653,-0.03892340479705503,547.2264863886251
72,72.0,7.69772,7.69772,-0.03773630806601069,547.2814480544946
73,73.0,7.69699,7.69699,-0.03846924889857384,547.3364097203641
74,74.0,7.69685,7.69685,-0.03861222802306852,547.3913713862338
75,75.0,7.69356,7.69356,-0.041905245581562944,547.4463330521033
76,76.0,7.69298,7.69298,-0.042488304845726965,547.5012947179729
77,77.0,7.6931,7.6931,-0.04237140639473491,547.5562563838424
78,78.0,7.69487,7.69487,-0.04060455011245878,547.6112180497121
79,79.0,7.69786,7.69786,-0.03761773424367387,547.6661797155816
