,Pixels #,Intensity (a.u.),Baselined Intensity (a.u.),Wavelength (nm)
0,0.0,7.5507,-0.0010001460792246064,543.3172315799269
1,1.0,7.5507,-0.0010001470789520184,543.3722694652716
2,2.0,7.55093,-0.0007701490784066678,543.4273073506164
3,3.0,7.55046,-0.0012401518476909956,543.482345235961
4,4.0,7.55189,0.00018984414339762168,543.5373831213058
5,5.0,7.55183,0.0001298403242548929,543.5924210066505
6,6.0,7.55195,0.00024983663490019126,543.6474588919953
7,7.0,7.55447,0.002769833195281457,543.7024967773399
8,8.0,7.55447,0.0027698325245140154,543.7575346626846
9,9.0,7.55387,0.0021698346225944576,543.8125725480294
10,10.0,7.55308,0.0013798388897168223,543.8676104333741
11,11.0,7.55134,-0.0003601554638441584,543.9226483187188
12,12.0,7.55133,-0.0003701501774138194,543.9776862040635
13,13.0,7.55073,-0.0009701452609824912,544.0327240894082
14,14.0,7.55073,-0.0009701413142897408,544.087761974753
15,15.0,7.55077,-0.0009301383373312433,544.1427998600977
16,16.0,7.55116,-0.0005401362901213957,544.1978377454424
17,17.0,7.5522,0.0004998652171739337,544.2528756307871
18,18.0,7.55268,0.000979867224137898,544.3079135161319
19,19.0,7.5522,0.0004998702105929453,544.3629514014766
20,20.0,7.54891,-0.0027901263032781287,544.4179892868212
21,21.0,7.54891,-0.0027901256060234303,544.473027172166
22,22.0,7.5508,-0.0009001276976388084,544.5280650575107
23,23.0,7.55155,-0.00015013068900504578,544.5831029428555
24,24.0,7.55099,-0.0007101338304424942,544.6381408282002
25,25.0,7.55203,0.00032986231828147083,544.6931787135449
26,26.0,7.55203,0.0003298587967366373,544.7482165988896
27,27.0,7.55247,0.0007698556049193783,544.8032544842343
28,28.0,7.55306,0.001359853182661297,544.8582923695791
29,29.0,7.5531,0.0013998521197384761,544.9133302549237
30,30.0,7.5531,0.0013998524561387171,544.9683681402685
31,31.0,7.55249,0.0007898541918631707,545.0234060256132
32,32.0,7.55249,0.00078985671713383,545.078443910958
33,33.0,7.55284,0.0011398600319543206,545.1334817963026
34,34.0,7.55284,0.0011398644862001817,545.1885196816473
35,35.0,7.55283,0.0011298700798745287,545.2435575669921
36,36.0,7.55283,0.001129876802987262,545.2985954523368
37,37.0,7.55353,0.0018298846555433457,545.3536333376816
38,38.0,7.55353,0.0018298943373054044,545.4086712230262
39,39.0,7.55328,0.0015799058482821593,545.463709108371
40,40.0,7.55293,0.0012299189385718279,545.5187469937157
41,41.0,7.55286,0.0011599332583118738,545.5737848790604
42,42.0,7.55215,0.000449948737540673,545.6288227644051
43,43.0,7.55286,0.0011599646665398922,545.6838606497498
44,44.0,7.55246,0.0007599817550589805,545.7388985350946
45,45.0,7.55322,0.0015199996032642105,545.7939364204393
46,46.0,7.55477,0.0030700189708969816,545.848974305784
47,47.0,7.55654,0.004840041407471851,545.9040121911287
48,48.0,7.55546,0.003760068682538531,545.9590500764734
49,49.0,7.55553,0.0038300997164011363,546.0140879618182
50,50.0,7.55546,0.003760134579071206,546.0691258471629
51,51.0,7.55393,0.002230173200603147,546.1241637325076
52,52.0,7.55119,-0.000509785948504593,546.1792016178523
53,53.0,7.55119,-0.0005097456071885276,546.234239503197
54,54.0,7.55046,-0.0012397057754087726,546.2892773885418
55,55.0,7.55044,-0.0012596671828095651,546.3443152738864
56,56.0,7.55044,-0.0012596298493434688,546.3993531592312
57,57.0,7.55083,-0.0008695937749738647,546.4543910445759
58,58.0,7.55306,0.0013604414301644496,546.5094289299207
59,59.0,7.55377,0.0020704779952271934,546.5644668152654
60,60.0,7.55306,0.0013605166300063587,546.61950470061
61,61.0,7.54984,-0.0018594433752143757,546.6745425859548
62,62.0,7.54792,-0.0037794052390687227,546.7295804712995
63,63.0,7.54792,-0.0037793708805633486,546.7846183566443
64,64.0,7.54835,-0.0033493402996640498,546.8396562419889
65,65.0,7.5487,-0.002999313066564646,546.8946941273337
66,66.0,7.5487,-0.002999288831418312,546.9497320126784
67,67.0,7.55176,6.073240580040107e-05,547.0047698980231
68,68.0,7.55268,0.0009807537037271885,547.0598077833679
69,69.0,7.55268,0.0009807759820290585,547.1148456687125
70,70.0,7.55245,0.0007507992407287389,547.1698835540573
71,71.0,7.55245,0.0007508232499358058,547.224921439402
72,72.0,7.55313,0.0014308480096740794,547.2799593247468
73,73.0,7.55313,0.001430874199718879,547.3349972100914
74,74.0,7.55257,0.0008709018200958596,547.3900350954361
75,75.0,7.55063,-0.0010690696889632534,547.4450729807809
76,76.0,7.54987,-0.0018290422666407125,547.5001108661256
77,77.0,7.54987,-0.0018290166725680734,547.5551487514703
78,78.0,7.55235,0.0006510070932810308,547.610186636815
79,79.0,7.55431,0.00261103150988351,547.6652245221597
80,80.0,7.55457,0.0028710585365807617,547.7202624075045
81,81.0,7.55457,0.00287108843331918,547.7753002928492
82,82.0,7.5541,0.0024011212001289195,547.8303381781939
83,83.0,7.55372,0.0020211563671885813,547.8853760635386
84,84.0,7.55326,0.0015611935546591127,547.9404139488834
85,85.0,7.55322,0.0015212323027347097,547.9954518342281
86,86.0,7.55181,0.00011127257146803515,548.0504897195727
87,87.0,7.55177,7.131295142936978e-05,548.1055276049175
88,88.0,7.55042,-0.0012786465973251282,548.1605654902622
89,89.0,7.55042,-0.0012786074241812884,548.215603375607
90,90.0,7.55042,-0.0012785695291004373,548.2706412609517
91,91.0,7.55055,-0.001148532912044864,548.3256791462964
92,92.0,7.55119,-0.0005084974430369371,548.3807170316411
93,93.0,7.55119,-0.0005084624823155082,548.4357549169858
94,94.0,7.55155,-0.00014842802984560421,548.4907928023306
95,95.0,7.55203,0.00033160627425665723,548.5458306876752
96,96.0,7.55203,0.00033164090983195393,548.60086857302
97,97.0,7.55126,-0.00043832412308386637,548.6559064583647
98,98.0,7.5508,-0.0008982895941427316,548.7109443437095
99,99.0,7.55123,-0.00046825596311350637,548.7659822290541
100,100.0,7.5508,-0.0008982228001492842,548.8210201143988
101,101.0,7.5509,-0.0007981905350300522,548.8760579997436
102,102.0,7.5509,-0.000798159067768367,548.9310958850883
103,103.0,7.5509,-0.0007981283983324872,548.9861337704331
104,104.0,7.55095,-0.0007480985266923312,549.0411716557777
105,105.0,7.55245,0.0007519305971621648,549.0962095411224
106,106.0,7.55245,0.0007519604726535789,549.1512474264672
107,107.0,7.55243,0.0007319910998120349,549.2062853118119
108,108.0,7.55077,-0.0009279775413260083,549.2613231971566
109,109.0,7.55037,-0.0013279471100506868,549.3163610825013
110,110.0,7.55037,-0.0013279180061571694,549.3713989678461
111,111.0,7.55087,-0.0008278902296154911,549.4264368531908
112,112.0,7.55233,0.0006321367193837801,549.4814747385356
113,113.0,7.55233,0.0006321643002689115,549.5365126238802
114,114.0,7.55008,-0.0016178074869301895,549.5915505092249
115,115.0,7.54919,-0.002507780891238376,549.6465883945697
116,116.0,7.54916,-0.002537756802206026,549.7016262799144
117,117.0,7.54895,-0.002747735249792882,549.756664165259
118,118.0,7.54895,-0.002747716443876058,549.8117020506038
119,119.0,7.55051,-0.00118770038443472,549.8667399359485
120,120.0,7.55274,0.0010423144878117796,549.9217778212933
121,121.0,7.55274,0.0010423304019679946,549.9768157066379
122,122.0,7.5514,-0.0002976526419482539,550.0318535919827
123,123.0,7.5514,-0.0002976359833946063,550.0868914773274
124,124.0,7.552,0.00030238037764362957,550.1419293626722
125,125.0,7.552,0.0003023970409419263,550.1969672480169
126,126.0,7.55212,0.00042241400651565897,550.2520051333615
127,127.0,7.55212,0.00042243139433484345,550.3070430187063
128,128.0,7.55318,0.0014824492044169801,550.362080904051
129,129.0,7.55318,0.0014824684963850032,550.4171187893958
130,130.0,7.55261,0.0009124892702576659,550.4721566747404
131,131.0,7.54864,-0.003057489043734485,550.5271945600851
132,132.0,7.54681,-0.004887470413817319,550.5822324454299
133,133.0,7.54681,-0.004887456668981827,550.6372703307746
134,134.0,7.5507,-0.0009974478092145134,550.6923082161194
135,135.0,7.5507,-0.0009974399464720562,550.747346101464
136,136.0,7.5507,-0.000997433080748067,550.8023839868088
137,137.0,7.55071,-0.0009874272120358185,550.8574218721535
138,138.0,7.55221,0.0005125776696672801,550.9124597574983
139,139.0,7.55233,0.0006325830637461394,550.9674976428429
140,140.0,7.55233,0.0006325890901575093,551.0225355281876
141,141.0,7.55223,0.00053259574890685,551.0775734135324
142,142.0,7.55223,0.0005326029400407606,551.1326112988771
143,143.0,7.55312,0.001422610663566637,551.1876491842218
144,144.0,7.5532,0.0015026198091590004,551.2426870695665
145,145.0,7.55326,0.00156263045679772,551.2977249549112
146,146.0,7.55364,0.0019426426664743701,551.352762840256
147,147.0,7.55326,0.0015626568180682199,551.4078007256007
148,148.0,7.55341,0.0017126725317258007,551.4628386109454
149,149.0,7.55311,0.0014126899574096186,551.5178764962901
150,150.0,7.55193,0.00023270879524250887,551.5729143816349
151,151.0,7.55155,-0.00014727213430898445,551.6279522669796
152,152.0,7.55155,-0.0001472532110726732,551.6829901523242
153,153.0,7.55121,-0.00048723443502840524,551.738028037669
154,154.0,7.55058,-0.0011172161460173413,551.7930659230137
155,155.0,7.55058,-0.0011171989737457366,551.8481038083585
156,156.0,7.55097,-0.0007271829181982881,551.9031416937032
157,157.0,7.55174,4.2832410469983984e-05,551.9581795790479
158,158.0,7.55271,0.001012847781954207,552.0132174643926
159,159.0,7.55174,4.286416589138753e-05,552.0682553497373
160,160.0,7.55218,0.00048288059267509453,552.1232932350821
161,161.0,7.55163,-6.71024978533552e-05,552.1783311204267
162,162.0,7.55218,0.0004829143445421735,552.2333690057715
163,163.0,7.55266,0.0009629316696591061,552.2884068911162
164,164.0,7.55266,0.0009629499573327038,552.343444776461
165,165.0,7.54962,-0.0020770307924200537,552.3984826618056
166,166.0,7.54935,-0.002347013618283711,552.4535205471503
167,167.0,7.54916,-0.0025369987901102675,552.5085584324951
168,168.0,7.54916,-0.0025369864977928813,552.5635963178398
169,169.0,7.55026,-0.001436976741317153,552.6186342031846
170,170.0,7.55027,-0.001426968421196051,552.6736720885292
171,171.0,7.55153,-0.00016696152742845527,552.728709973874
172,172.0,7.55229,0.0005930451994462516,552.7837478592187
173,173.0,7.55286,0.001163052519130403,552.8387857445634
174,174.0,7.55286,0.0011630610014154996,552.8938236299081
175,175.0,7.55071,-0.0009869293536892698,552.9488615152528
176,176.0,7.55057,-0.0011269206953041788,553.0038994005976
177,177.0,7.55057,-0.0011269131633575569,553.0589372859423
178,178.0,7.55048,-0.0012169067578406967,553.113975171287
179,179.0,7.55048,-0.001216901568709794,553.1690130566317
180,180.0,7.55048,-0.0012168975959578887,553.2240509419764
181,181.0,7.54951,-0.00218689483958201,553.2790888273212
182,182.0,7.54943,-0.002266894269125963,553.3341267126659
183,183.0,7.54943,-0.0022668959645510967,553.3891645980106
184,184.0,7.55145,-0.0002468999258571358,553.4442024833553
185,185.0,7.55152,-0.00017690413396120874,553.4992403687
186,186.0,7.55152,-0.0001769085188980668,553.5542782540448
187,187.0,7.552,0.00030308691933012,553.6093161393894
188,188.0,7.55284,0.0011430826605236533,553.6643540247342
189,189.0,7.55284,0.0011430795443541086,553.7193919100789
190,190.0,7.55355,0.001853077570818762,553.7744297954237
191,191.0,7.55152,-0.00017692255033985305,553.8294676807684
192,192.0,7.5518,0.00010307715165325249,553.884505566113
193,193.0,7.55142,-0.00027692304331772277,553.9395434514578
194,194.0,7.5518,0.00010307648490215371,553.9945813368025
195,195.0,7.5526,0.0009030761161570311,554.0496192221473
196,196.0,7.5532,0.0015030766501329396,554.1046571074919
197,197.0,7.55323,0.0015330786866085688,554.1596949928366
198,198.0,7.55323,0.0015330822555741364,554.2147328781814
199,199.0,7.55129,-0.00040691264296732754,554.2697707635261
200,200.0,7.55113,-0.0005669079482517603,554.3248086488709
201,201.0,7.54982,-0.0018769038202046673,554.3798465342155
202,202.0,7.55113,-0.0005669015682334688,554.4348844195603
203,203.0,7.55211,0.00041310011707551553,554.489922304905
204,204.0,7.5541,0.0024031022153181425,554.5449601902498
205,205.0,7.55456,0.0028631067157753876,554.5999980755944
206,206.0,7.55456,0.0028631140783037523,554.6550359609391
207,207.0,7.55263,0.0009331243029091496,554.7100738462839
208,208.0,7.55224,0.0005431354602700722,554.7651117316286
209,209.0,7.55108,-0.0006168528394514539,554.8201496169733
210,210.0,7.55085,-0.0008468417557656593,554.875187502318
211,211.0,7.55108,-0.0006168315185623996,554.9302253876627
212,212.0,7.55132,-0.000376821897931201,554.9852632730075
213,213.0,7.55164,-5.681265396351165e-05,555.0403011583522
214,214.0,7.55267,0.0009731965332138159,555.0953390436969
215,215.0,7.5529,0.001203206693204173,555.1503769290416
216,216.0,7.5541,0.0024032180559316885,555.2054148143864
217,217.0,7.5541,0.002403231820986562,555.2604526997311
218,218.0,7.55382,0.0021232479883819266,555.3154905850757
219,219.0,7.55265,0.0009532662782287815,555.3705284704205
220,220.0,7.55211,0.00041328552096508986,555.4255663557652
221,221.0,7.55211,0.0004133051768198115,555.48060424111
222,222.0,7.55186,0.0001633252458113077,555.5356421264546
223,223.0,7.55151,-0.000186654521937335,555.5906800117993
224,224.0,7.55151,-0.0001866344762637695,555.6457178971441
225,225.0,7.55257,0.0008733853828521987,555.7007557824888
226,226.0,7.55257,0.0008734061150068584,555.7557936678336
227,227.0,7.55113,-0.0005665722797800754,555.8108315531782
228,228.0,7.54836,-0.003336551240900043,555.865869438523
229,229.0,7.54836,-0.0033365335370056926,555.9209073238677
230,230.0,7.54807,-0.0036265191680771025,555.9759452092125
231,231.0,7.54807,-0.0036265084239470724,556.0309830945571
232,232.0,7.55302,0.0013234986953953864,556.0860209799018
233,233.0,7.55302,0.0013235071377195595,556.1410588652466
234,234.0,7.55257,0.0008735169030344991,556.1960967505913
235,235.0,7.55225,0.0005535275415180507,556.2511346359361
236,236.0,7.55129,-0.0004064612666949685,556.3061725212807
237,237.0,7.55071,-0.0009864504811982755,556.3612104066254
238,238.0,7.55047,-0.001226440681726615,556.4162482919702
239,239.0,7.55047,-0.001226432108162534,556.4712861773149
240,240.0,7.55164,-5.642476049683154e-05,556.5263240626596
241,241.0,7.55216,0.00046358253076661526,556.5813619480043
242,242.0,7.55164,-5.64097145741016e-05,556.6363998333491
243,243.0,7.5527,0.0010035979836988673,556.6914377186938
244,244.0,7.5527,0.0010036066851712988,556.7464756040386
245,245.0,7.55326,0.0015636163898529176,556.8015134893832
246,246.0,7.55362,0.0019236276575442801,556.8565513747279
