Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
56.0,7.69505,546.402287972671,7.69507,-0.04034166028967956
57.0,7.69765,546.4572494386073,7.69607,-0.03934396126122053
58.0,7.69607,546.5122109045435,7.69607,-0.0393463013939801
59.0,7.69364,546.5671723704797,7.6939,-0.041518680690274756
60.0,7.6939,546.622133836416,7.6939,-0.041521101308379826
61.0,7.69516,546.6770953023522,7.69516,-0.04026356325069269
62.0,7.69613,546.7320567682883,7.69529,-0.04013606526788127
63.0,7.69529,546.7870182342245,7.69539,-0.040038607233265466
64.0,7.69539,546.8419797001608,7.69539,-0.04004118905000986
65.0,7.69559,546.896941166097,7.69539,-0.040043810720672646
66.0,7.69301,546.9519026320332,7.69357,-0.04186647224784945
67.0,7.69357,547.0068640979695,7.69338,-0.04205917544227944
68.0,7.69338,547.0618255639057,7.69357,-0.04187192049537902
69.0,7.69403,547.1167870298419,7.69403,-0.0414147072211275
70.0,7.69655,547.1717484957782,7.69653,-0.038917535165319705
71.0,7.69653,547.2267099617144,7.69655,-0.03890040184693078
72.0,7.69772,547.2816714276506,7.69699,-0.03846330724892688
73.0,7.69699,547.3366328935867,7.69699,-0.03846625093697664
74.0,7.69685,547.391594359523,7.69685,-0.03860923291399665
75.0,7.69356,547.4465558254592,7.69356,-0.04190225332205699
76.0,7.69298,547.5015172913954,7.6931,-0.04236531543283473
77.0,7.6931,547.5564787573317,7.6931,-0.04236841970630767
78.0,7.69487,547.6114402232679,7.69487,-0.04060156614555055
79.0,7.69786,547.6664016892041,7.69636,-0.03911475299533951
80.0,7.69636,547.7213631551404,7.69786,-0.037617978778433425
81.0,7.6985,547.7763246210766,7.69699,-0.03849124200749454
82.0,7.69699,547.8312860870128,7.69699,-0.03849454355028925
83.0,7.69657,547.886247552949,7.69657,-0.038917883410089615
84.0,7.69617,547.9412090188853,7.69657,-0.03892126200754209
85.0,7.69822,547.9961704848214,7.69728,-0.03821467934599365
86.0,7.69728,548.0511319507576,7.69822,-0.03727813472332553
87.0,7.69991,548.1060934166939,7.69991,-0.03559162720884412
88.0,7.7001,548.1610548826301,7.7001,-0.035405155126389865
