Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.61986,543.3748498771706,7.61986,-0.01985713128486477
1.0,7.62067,543.4298157247017,7.62033,-0.01938715111256517
2.0,7.62033,543.4847815722328,7.62033,-0.019387190298881585
3.0,7.61913,543.5397474197639,7.61913,-0.020587248843853878
4.0,7.61786,543.594713267295,7.61913,-0.02058732794523177
5.0,7.62017,543.6496791148261,7.62017,-0.019547427603095358
6.0,7.62227,543.7046449623572,7.62204,-0.017677546779546027
7.0,7.62204,543.7596108098883,7.6221,-0.017617683608187384
8.0,7.6221,543.8145766574194,7.62204,-0.017677838029264592
9.0,7.62177,543.8695425049505,7.62177,-0.01794801010282221
10.0,7.62124,543.9245083524816,7.62124,-0.018478200098536846
11.0,7.61712,543.9794742000128,7.61732,-0.02239840854562214
12.0,7.61732,544.0344400475439,7.61732,-0.022398639356670635
13.0,7.61757,544.089405895075,7.61757,-0.022148892531911102
14.0,7.61859,544.144371742606,7.61859,-0.02112916782210128
15.0,7.6193,544.1993375901371,7.6193,-0.020419464209552096
16.0,7.62042,544.2543034376682,7.62042,-0.01929978098594809
17.0,7.62172,544.3092692851993,7.62042,-0.019300117033751896
18.0,7.61979,544.3642351327304,7.61979,-0.019930472353300033
19.0,7.61781,544.4192009802615,7.6181,-0.02162084757374405
20.0,7.6181,544.4741668277926,7.61781,-0.021911244382151196
21.0,7.61708,544.5291326753237,7.61776,-0.021961663068337245
22.0,7.61776,544.5840985228548,7.61708,-0.02264210368261743
23.0,7.61571,544.6390643703859,7.61776,-0.021962566904054626
24.0,7.61994,544.694030217917,7.61994,-0.01978305205448727
25.0,7.62066,544.7489960654481,7.61994,-0.01978355695867684
26.0,7.61878,544.8039619129792,7.61911,-0.020614081617125635
27.0,7.61911,544.8589277605103,7.61878,-0.020944626858753423
28.0,7.61878,544.9138936080413,7.61911,-0.020615193013457045
29.0,7.62009,544.9688594555724,7.62009,-0.019635779752448457
30.0,7.62142,545.0238253031035,7.62139,-0.018336386098202873
31.0,7.62139,545.0787911506346,7.62142,-0.018307010753767727
32.0,7.62148,545.1337569981658,7.62139,-0.018337653689822986
33.0,7.62079,545.1887228456969,7.62089,-0.01883831493695265
34.0,7.62089,545.243688693228,7.62079,-0.018938994994886826
35.0,7.61922,545.2986545407591,7.61942,-0.020309693964115638
36.0,7.61942,545.3536203882902,7.61942,-0.0203104132127212
37.0,7.62106,545.4085862358213,7.62077,-0.018961152741422183
38.0,7.62077,545.4635520833524,7.62106,-0.018671911203530733
39.0,7.62115,545.5185179308835,7.62115,-0.01858268831034504
40.0,7.62242,545.5734837784146,7.62115,-0.018583483972808956
41.0,7.62087,545.6284496259457,7.62155,-0.01818429819171552
42.0,7.62155,545.6834154734768,7.62087,-0.018865130568618937
43.0,7.6193,545.7383813210079,7.62155,-0.01818598178308406
44.0,7.62157,545.793347168539,7.62029,-0.019446851157225886
45.0,7.62029,545.84831301607,7.62029,-0.01944773994954918
46.0,7.61936,545.9032788636011,7.62008,-0.019658648160942427
47.0,7.62008,545.9582447111322,7.62008,-0.01965957600190915
48.0,7.62169,546.0132105586633,7.62169,-0.018050523473375435
49.0,7.62208,546.0681764061944,7.62169,-0.018051488969303975
50.0,7.62095,546.1231422537255,7.62095,-0.018792472490656742
51.0,7.61982,546.1781081012566,7.61982,-0.01992347477704204
52.0,7.61925,546.2330739487877,7.61982,-0.019924496957317572
53.0,7.62114,546.2880397963188,7.62057,-0.01917553903250102
54.0,7.62057,546.34300564385,7.62076,-0.018986600255059827
55.0,7.62076,546.3979714913811,7.62057,-0.019177680436410327
56.0,7.62021,546.4529373389122,7.62047,-0.019278779767271992
57.0,7.62047,546.5079031864433,7.62021,-0.019539898348551965
58.0,7.61966,546.5628690339744,7.62031,-0.01944103644087125
59.0,7.62031,546.6178348815055,7.62031,-0.019442193945554465
60.0,7.6208,546.6728007290366,7.62031,-0.01944337086375647
61.0,7.61953,546.7277665765677,7.61953,-0.020224567196651222
62.0,7.61638,546.7827324240988,7.61707,-0.022685783723934705
63.0,7.61707,546.8376982716298,7.61707,-0.022687022901926923
64.0,7.6192,546.8926641191609,7.6192,-0.020558284731861498
65.0,7.62059,546.947629966692,7.61957,-0.02018956708925046
66.0,7.61957,547.0025958142231,7.62059,-0.019170869606090157
67.0,7.62083,547.0575616617542,7.62083,-0.018932191265629505
68.0,7.62139,547.1125275092853,7.6213,-0.01846353182963867
69.0,7.6213,547.1674933568164,7.6213,-0.01846489083033198
70.0,7.62119,547.2224592043475,7.6213,-0.018466268269064834
71.0,7.62257,547.2774250518786,7.62171,-0.018057664147210772
72.0,7.62171,547.3323908994097,7.62171,-0.018059078056920974
73.0,7.62065,547.3873567469408,7.62158,-0.01819050999960492
74.0,7.62158,547.4423225944719,7.62139,-0.018381960106451878
75.0,7.62139,547.4972884420031,7.62145,-0.018323428568553624
76.0,7.62145,547.5522542895342,7.62139,-0.01838491532748865
77.0,7.61967,547.6072201370653,7.61967,-0.02010642044462596
78.0,7.61828,547.6621859845964,7.61957,-0.0202079456382096
79.0,7.61957,547.7171518321275,7.61932,-0.0204594910095679
80.0,7.61932,547.7721176796585,7.61957,-0.02021105680975399
81.0,7.62271,547.8270835271896,7.62271,-0.01707264279081766
82.0,7.62296,547.8820493747207,7.62271,-0.017074245820200673
83.0,7.62199,547.9370152222518,7.62199,-0.01779586589950366
84.0,7.62169,547.9919810697829,7.62169,-0.018097503749035404
85.0,7.62148,548.046946917314,7.62169,-0.018099159669878517
86.0,7.62407,548.1019127648451,7.62201,-0.017780833663683104
87.0,7.62201,548.1568786123762,7.62336,-0.01643252541270801
88.0,7.62336,548.2118444599073,7.62201,-0.01778423357107073
89.0,7.62106,548.2668103074384,7.62144,-0.01835595948804425
90.0,7.62144,548.3217761549695,7.62106,-0.018737703734296396
91.0,7.61995,548.3767420025006,7.62144,-0.018359466690860415
92.0,7.62267,548.4317078500317,7.62126,-0.018541247980201625
93.0,7.62126,548.4866736975628,7.62228,-0.017523047783762458
94.0,7.62228,548.5416395450939,7.62126,-0.018544865085214468
95.0,7.62101,548.596605392625,7.62153,-0.01827670090449285
96.0,7.62153,548.6515712401562,7.62101,-0.01879855497392935
97.0,7.62004,548.7065370876873,7.62018,-0.01963042781440283
98.0,7.62018,548.7615029352183,7.62018,-0.019632320256209645
99.0,7.62036,548.8164687827494,7.62018,-0.019634232301235066
100.0,7.62016,548.8714346302805,7.62036,-0.019456163951387495
