,Center (nm),Intensity (AU),FWHM (nm),Error (nm)
0,585.2670092297666,3.1421278247865705,0.5017161303840543,0.018009229766562385
1,588.2069324685892,0.23174804938370083,0.5055720401073989,0.017932468589265227
2,594.4999151134891,0.42589643080501804,0.4980190023872293,0.016915113489176292
3,607.4342118707053,0.4421713206798652,0.4874544697482366,0.0002118707053568869
4,609.6130930836574,0.7644255037730813,0.4869035206514414,-0.002906916342567456
5,614.2969774141441,1.1745099575255549,0.48446468157376893,-0.009022585855973375
6,616.34694857613,0.3431961865043792,0.4842868353590285,-0.012051423870047984
7,621.7048522351131,0.23765172710749732,0.48956936384157135,-0.023147764886857658
8,626.6282158269642,0.7355701941239271,0.48376299182209326,-0.020784173035849562
9,630.4564775499651,0.27891839946426816,0.48761803792778163,-0.02252245003489861
10,633.4208778770911,0.6755894388074781,0.49164135236700673,-0.02212212290885418
11,638.2859505763264,1.112691445783348,0.49582608749615026,-0.01304942367357853
12,640.2159565619481,1.7850414641516903,0.4975755531959467,-0.009043438051890007
13,650.6849294474753,1.2541214537584071,0.512439634392554,0.03192944747524962
14,653.337652168635,0.35977744906622305,0.5275858752662443,0.049652168635020644
