Center (nm),Intensity (AU),FWHM (nm),Error (nm)
585.2669695157111,1.4435710627571803,0.4856315626211128,0.01796951571111549
588.2073104971674,0.11551334053228614,0.4873377946449309,0.01831049716747657
594.4934844891209,0.21534712622241942,0.481749305560745,0.01048448912092681
607.4311037323704,0.22743276492214207,0.48816148649183144,-0.0028962676295805068
609.6104376811804,0.39879009869980914,0.4792085309536943,-0.005562318819556822
614.2966353445288,0.6007007946101999,0.4761011391983715,-0.009364655471244987
616.3472664744424,0.1828390605643614,0.48101088698186084,-0.01173352555758811
621.7089743162825,0.12608871757840595,0.48204699175798804,-0.01902568371747293
626.6329011721477,0.37808923486084073,0.4755791571866989,-0.01609882785226091
630.4632905512484,0.15576658613569497,0.4774625612166176,-0.015709448751636046
633.4268509287249,0.3584737186575654,0.4760318495183092,-0.016149071275094684
638.2905928489291,0.5749208163281361,0.47889573634424415,-0.008407151070855434
640.2183121930776,0.9390988613459481,0.4761914840105937,-0.006687806922400341
650.6791330304725,0.6361902227791509,0.48313110837231865,0.02613303047246518
653.326737224595,0.18855425678098817,0.4955897662429417,0.0387372245950246
