Center (nm),Intensity (AU),FWHM (nm),Error (nm)
585.2879046989866,120.19335417107368,0.7484054969656607,0.03890469898658466
588.1898094757576,25.68757331994781,0.5422208718909746,0.0008094757575918266
594.4833710400734,45.812614193760886,0.546612333574351,0.00037104007344623824
607.4294705214606,42.36607504464539,0.5699780422350669,-0.004529478539325282
609.6100359384728,73.20462412106285,0.5756162827383042,-0.005964061527151898
614.2919626250683,103.16859090845006,0.5940697014476257,-0.01403737493171775
616.3487733804336,31.74455253104651,0.5855530047234695,-0.010226619566424233
621.7131051659163,21.047682676516935,0.5972396821456689,-0.014894834083634123
626.6381541252607,64.48378562514682,0.5973746102525355,-0.010845874739288774
630.469660655463,24.18283828086321,0.5994080631365997,-0.00933934453701113
633.4302712751895,58.60307091288976,0.6073990350291678,-0.012728724810472158
638.2954467696928,92.4326898610098,0.6083047632283354,-0.0035532303071477145
640.2171540957634,118.2045793349896,0.6759144634327631,-0.007845904236660317
650.6742138567768,99.21023271122654,0.6010362209043033,0.021213856776739703
653.3206663756844,28.575116855075656,0.5943372678733051,0.03266637568435726
