Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
58.0,0.0045478,546.5269285298382,0.0045478,0.0021445758070406462
59.0,0.0053199,546.5819244160465,0.0053199,0.0029166753820647796
60.0,0.00452947,546.6369203022547,0.00452947,0.0021262449570889136
61.0,0.00415409,546.691916188463,0.00415409,0.0017508645321130476
62.0,0.00293946,546.7469120746712,0.00293946,0.0005362341071371815
63.0,0.00205748,546.8019079608795,0.00205748,-0.00034574578419811243
64.0,0.00288146,546.8569038470878,0.00288146,0.0004782339838363455
65.0,0.00425171,546.911899733296,0.00425171,0.0018484842274770832
66.0,0.00277768,546.9668956195043,0.00277768,0.00037445447111782203
67.0,0.00453246,547.0218915057125,0.00453246,0.002129235086715076
68.0,0.00262812,547.0768873919208,0.00262812,0.00022489570231232865
69.0,0.00257013,547.1318832781291,0.00257013,0.00016690654092432972
70.0,0.00261895,547.1868791643373,0.00261895,0.00021572754493750027
71.0,0.00427912,547.2418750505456,0.00427912,0.0018758987628515618
72.0,0.00461481,547.2968709367539,0.00461481,0.0022115899807656227
73.0,0.00437676,547.351866822962,0.00437676,0.0019735411986796848
74.0,0.00438896,547.4068627091704,0.00438896,0.0019857424165937456
75.0,0.00332997,547.4618585953785,0.00332997,0.0009267536345078072
76.0,0.00395253,547.5168544815868,0.00395253,0.0015493157788093173
77.0,0.00288439,547.5718503677952,0.00288439,0.0004811779231108271
78.0,0.00274095,547.6268462540033,0.00274095,0.0003377405459623092
79.0,0.00289048,547.6818421402116,0.00289048,0.00048727350416078027
80.0,0.00351914,547.73683802642,0.00351914,0.0011159369470051818
81.0,0.00383652,547.7918339126281,0.00383652,0.0014333203898495833
82.0,0.00214276,547.8468297988364,0.00214276,-0.00026043616730601514
83.0,0.00336957,547.9018256850446,0.00336957,0.0009663770187059192
84.0,0.00307659,547.9568215712529,0.00307659,0.0006734002047178536
85.0,0.00332072,548.0118174574612,0.00332072,0.0009175340619217522
86.0,0.00403789,548.0668133436694,0.00403789,0.0016347088362004786
87.0,0.00405924,548.1218092298777,0.00405924,0.001656063610479206
88.0,0.0038395,548.1768051160859,0.0038395,0.0014363283847579323
89.0,0.00316199,548.2318010022942,0.00316199,0.0007588231590366589
90.0,0.00360144,548.2867968885025,0.00360144,0.0011982786903871243
91.0,0.00340611,548.3417927747107,0.00340611,0.00100295422173759
92.0,0.00378758,548.396788660919,0.00378758,0.0013844297530880558
93.0,0.00354037,548.4517845471273,0.00354037,0.0011372252844385217
94.0,0.00424228,548.5067804333355,0.00424228,0.0018391408157889875
95.0,0.00350373,548.5617763195438,0.00350373,0.0011005963471394532
96.0,0.00468477,548.616772205752,0.00468477,0.0022816418784899193
97.0,0.00389434,548.6717680919603,0.00389434,0.0014912174098403847
98.0,0.00355863,548.7267639781686,0.00355863,0.0011555129411908505
99.0,0.00316189,548.7817598643768,0.00316189,0.0007587784725413163
100.0,0.00267359,548.8367557505851,0.00267359,0.00027048476091826425
101.0,0.00409267,548.8917516367933,0.00409267,0.0016895713176569146
102.0,0.00287194,548.9467475230016,0.00287194,0.0004688478743955656
103.0,0.00330528,549.0017434092099,0.00330528,0.0009021948973554662
104.0,0.00243551,549.0567392954181,0.00243551,3.243282190031104e-05
105.0,0.00426048,549.1117351816264,0.00426048,0.0018574107785361677
106.0,0.00463584,549.1667310678347,0.00463584,0.0022327787351720248
107.0,0.00365925,549.2217269540429,0.00365925,0.0012561966918078825
108.0,0.0018068,549.2767228402512,0.0018068,-0.0005962453515562611
109.0,0.00127272,549.3317187264594,0.00127272,-0.0011303179806673171
110.0,0.0,549.3867146126677,0.0,-0.0024030317134517624
111.0,0.00109255,549.441710498876,0.00109255,-0.0013104777588130742
112.0,0.00314955,549.4967063850842,0.00314955,0.0007465249188656773
113.0,0.00327161,549.5517022712925,0.00327161,0.0008685883412410545
114.0,0.00254832,549.6066981575008,0.00254832,0.00014530263128439318
115.0,0.00522474,549.661694043709,0.00522474,0.0028217270652840924
