,Pixels #,Intensity (a.u.),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted
0,0.0,0.000966405,0.000966405,0.0009651901017776332,543.3371671297591,392.21437109110934,-2230.2789293755986
1,1.0,0.000493884,0.000493884,0.0004926691017776331,543.3921630159674,394.07709041524265,-2226.4949832068983
2,2.0,0.0,0.0,-1.2148982223668037e-06,543.4471589021756,395.9394327316063,-2222.711802895451
3,3.0,0.000570687,0.000570687,0.0005694721005687934,543.5021547883839,397.8013981546509,-2218.9293882087613
4,4.0,0.0,0.0,-1.2149006400463026e-06,543.5571506745921,399.6629867987706,-2215.147738914448
5,5.0,0.00148496,0.00148496,0.0014837450969422718,543.6121465608004,401.52419877832705,-2211.366854780195
6,6.0,0.00033341,0.00033341,0.00033219509452458995,543.6671424470087,403.3850342076211,-2207.5867355738105
7,7.0,0.00112084,0.00112084,0.001119625092106908,543.7221383332169,405.2454932009127,-2203.8073810631868
8,8.0,0.0,0.0,-1.2149103107738715e-06,543.7771342194252,407.1055758724201,-2200.0287910162983
9,9.0,0.00140269,0.00140269,0.0014014750860626927,543.8321301056335,408.96528233631216,-2196.2509652012222
10,10.0,0.000279622,0.000279622,0.0002784070824361589,543.8871259918417,410.82461270670325,-2192.473903386145
11,11.0,0.0,0.0,-1.2149211903747003e-06,543.94212187805,412.68356709767966,-2188.6976053393114
12,12.0,0.000602223,0.000602223,0.0006010080739742293,543.9971177642582,414.5421456232647,-2184.9220708290927
13,13.0,0.000665738,0.000665738,0.0006645230691388331,544.0521136504665,416.4003483974471,-2181.1472996239313
14,14.0,0.0003844,0.0003844,0.000383185064303437,544.1071095366748,418.2581755341635,-2177.373291492375
15,15.0,3.50958e-05,3.50958e-05,3.388085946804091e-05,544.162105422883,420.1156271472985,-2173.600046203078
16,16.0,5.64584e-05,5.64584e-05,5.524348847579793e-05,544.2171013090913,421.97270335070846,-2169.827563524751
17,17.0,0.00117641,0.00117641,0.0011751951174835548,544.2720971952996,423.82940425818697,-2166.0558432262324
18,18.0,0.000247705,0.000247705,0.00024649014649131195,544.3270930815078,425.6857299834863,-2162.2848850764453
