Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.53922,543.3374318193712,7.53885,-0.003292881781608692
1.0,7.53885,543.3924275939398,7.53885,-0.003292885073195251
2.0,7.53672,543.4474233685083,7.53672,-0.00542289165637122
3.0,7.53652,543.502419143077,7.53672,-0.005422903660257106
4.0,7.53711,543.5574149176456,7.53711,-0.005032921084865194
5.0,7.53881,543.6124106922141,7.53721,-0.00493294354037932
6.0,7.53721,543.6674064667827,7.5374,-0.0047429709268618225
7.0,7.5374,543.7224022413513,7.5374,-0.004743003054421102
8.0,7.53813,543.7773980159199,7.5381,-0.004043039923089964
9.0,7.5381,543.8323937904885,7.53813,-0.004013080833195737
10.0,7.53884,543.8873895650571,7.53846,-0.003683125754791128
11.0,7.53846,543.9423853396257,7.53884,-0.0033031743580584916
12.0,7.53948,543.9973811141942,7.53846,-0.003683226263201611
13.0,7.53646,544.0523768887629,7.53671,-0.005433281850114824
14.0,7.53671,544.1073726633315,7.53646,-0.005683342868124441
15.0,7.53549,544.1623684379,7.53671,-0.005433409567183745
16.0,7.53773,544.2173642124686,7.53773,-0.0044134816974672475
17.0,7.53903,544.2723599870372,7.53823,-0.003913558239473147
18.0,7.53823,544.3273557616058,7.53823,-0.003913638693489041
19.0,7.53813,544.3823515361744,7.53823,-0.003913723059594254
20.0,7.53832,544.437347310743,7.53813,-0.0040138113378747065
21.0,7.53505,544.4923430853115,7.53645,-0.005693903628373853
22.0,7.53645,544.5473388598801,7.53563,-0.006514001610478992
23.0,7.53563,544.6023346344488,7.53645,-0.005694106103935503
24.0,7.53906,544.6573304090173,7.53879,-0.003354216289201517
25.0,7.53879,544.7123261835859,7.53879,-0.003354329827361724
26.0,7.53841,544.7673219581545,7.53879,-0.0033544467185304683
27.0,7.5389,544.822317732723,7.53841,-0.0037345669628248146
28.0,7.53833,544.8773135072917,7.5389,-0.0032446909402086277
29.0,7.53941,544.9323092818603,7.53882,-0.003324818161006604
30.0,7.53882,544.9873050564289,7.539,-0.0031449487053158975
31.0,7.539,545.0423008309974,7.53884,-0.0033050823933375995
32.0,7.53884,545.097296605566,7.539,-0.0031452193851428945
33.0,7.53919,545.1522923801347,7.53884,-0.003305359520930473
34.0,7.53793,545.2072881547032,7.53793,-0.004215502960777329
35.0,7.537,545.2622839292718,7.53793,-0.004215650614451505
36.0,7.53911,545.3172797038404,7.53859,-0.003555802482099857
37.0,7.53859,545.3722754784089,7.53911,-0.003035957904147679
38.0,7.53969,545.4272712529776,7.53859,-0.0035561163609623136
39.0,7.53701,545.4822670275462,7.5394,-0.0027462783724905293
40.0,7.5394,545.5372628021147,7.53862,-0.0035264431292221232
41.0,7.53862,545.5922585766833,7.53862,-0.0035266114110070745
42.0,7.5374,545.647254351252,7.53809,-0.004056783218011617
43.0,7.53809,545.7022501258205,7.53775,-0.00439695908019111
44.0,7.53775,545.7572459003891,7.53809,-0.004057139337576565
45.0,7.53886,545.8122416749577,7.53775,-0.004397323650492169
46.0,7.53765,545.8672374495262,7.53823,-0.0039175123589787475
47.0,7.53823,545.9222332240948,7.53823,-0.003917704983426695
48.0,7.5397,545.9772289986635,7.53935,-0.0027979015240271465
49.0,7.53935,546.0322247732321,7.53935,-0.002798100861434172
50.0,7.5387,546.0872205478006,7.5387,-0.0034483029958449762
51.0,7.53689,546.1422163223692,7.53737,-0.004778508577199858
52.0,7.53737,546.1972120969378,7.537,-0.005148718935152452
53.0,7.537,546.2522078715064,7.537,-0.005148934439755948
54.0,7.53653,546.307203646075,7.53653,-0.005619155091226347
55.0,7.53551,546.3621994206436,7.53554,-0.006609381359583999
56.0,7.53554,546.4171951952121,7.53554,-0.00660961423462858
57.0,7.53672,546.4721909697807,7.53672,-0.0054298537165919925
58.0,7.53873,546.5271867443494,7.53873,-0.0034200986262211686
59.0,7.5395,546.5821825189179,7.53873,-0.00342034695460125
60.0,7.53871,546.6371782934865,7.53871,-0.003440598701978992
61.0,7.53834,546.6921740680551,7.53834,-0.0038108538885976984
62.0,7.53712,546.7471698426236,7.53712,-0.00503111288456104
63.0,7.53624,546.8021656171923,7.53706,-0.005091376909617473
64.0,7.53706,546.8571613917609,7.53706,-0.005091646024006913
65.0,7.53843,546.9121571663294,7.53706,-0.005091920227996205
66.0,7.53696,546.967152940898,7.53843,-0.003722199521861924
67.0,7.53871,547.0221487154666,7.53696,-0.005192482536452658
68.0,7.53681,547.0771444900353,7.53681,-0.005342770741437519
69.0,7.53675,547.1321402646038,7.5368,-0.005353064287040965
70.0,7.5368,547.1871360391724,7.5368,-0.0053533631835529505
71.0,7.53846,547.242131813741,7.53846,-0.003693667431272196
72.0,7.5388,547.2971275883095,7.53856,-0.0035939753711948796
73.0,7.53856,547.3521233628782,7.53857,-0.0035842869036715186
74.0,7.53857,547.4071191374468,7.53856,-0.003594602019017401
75.0,7.53751,547.4621149120153,7.53813,-0.0040249207275442345
76.0,7.53813,547.5171106865839,7.53751,-0.004645243459391324
77.0,7.53707,547.5721064611525,7.53707,-0.005085570834624242
78.0,7.53692,547.627102235721,7.53707,-0.005085903293383431
79.0,7.53707,547.6820980102897,7.53707,-0.005086240836001288
80.0,7.5377,547.7370937848583,7.5377,-0.004456583462814301
81.0,7.53802,547.7920895594268,7.5377,-0.004456930544431081
82.0,7.53632,547.8470853339954,7.53755,-0.004607282081197539
83.0,7.53755,547.9020811085641,7.53726,-0.004897638223402723
84.0,7.53726,547.9570768831326,7.5375,-0.004657999261279855
85.0,7.5375,548.0120726577012,7.5375,-0.004658364955291816
86.0,7.53822,548.0670684322698,7.53822,-0.003938735305803576
87.0,7.53824,548.1220642068384,7.53822,-0.003939109593485313
88.0,7.53802,548.177059981407,7.53802,-0.00413948781870932
89.0,7.53734,548.2320557559756,7.53778,-0.0043798701817729935
90.0,7.53778,548.2870515305442,7.53759,-0.004570256922956872
91.0,7.53759,548.3420473051127,7.53778,-0.0043806482325683405
92.0,7.53797,548.3970430796813,7.53772,-0.004441043921078247
93.0,7.53772,548.45203885425,7.53797,-0.004191444048858628
94.0,7.53842,548.5070346288185,7.53772,-0.004441848366410817
95.0,7.53769,548.5620304033871,7.53842,-0.0037422571240357527
96.0,7.53887,548.6170261779557,7.53808,-0.004082669622432533
97.0,7.53808,548.6720219525242,7.53808,-0.0040830862018710334
98.0,7.53774,548.7270177270929,7.53774,-0.004423506862767823
99.0,7.53734,548.7820135016615,7.53734,-0.004823931945403537
100.0,7.53686,548.83700927623,7.53734,-0.004824361850034542
101.0,7.53827,548.8920050507986,7.53705,-0.005114796577091241
102.0,7.53705,548.9470008253672,7.53749,-0.00467523641688139
103.0,7.53749,549.0019965999358,7.53705,-0.005115680930034117
104.0,7.53662,549.0569923745044,7.53749,-0.004676130556804381
105.0,7.53844,549.111988149073,7.53844,-0.003726584857829174
106.0,7.53882,549.1669839236416,7.53844,-0.003727042883958198
107.0,7.53784,549.2219796982101,7.53784,-0.004327504635647905
108.0,7.53599,549.2769754727788,7.53599,-0.006177970713113545
109.0,7.53545,549.3319712473474,7.53545,-0.006718442966031191
110.0,7.53302,549.3869670219159,7.5352,-0.006968921934636718
111.0,7.5352,549.4419627964845,7.5352,-0.006969407869299005
112.0,7.53733,549.4969585710531,7.53733,-0.004839900770503114
113.0,7.53745,549.5519543456217,7.53733,-0.004840398509662336
114.0,7.53673,549.6069501201903,7.53745,-0.004720901087272189
115.0,7.53941,549.6619458947589,7.53924,-0.0029314083838860583
116.0,7.53924,549.7169416693274,7.53924,-0.002931918610753037
117.0,7.53822,549.771937443896,7.53843,-0.003742431768383625
118.0,7.53843,549.8269332184647,7.53822,-0.00395294866695739
119.0,7.53774,549.8819289930332,7.53843,-0.0037434695169036303
120.0,7.53905,549.9369247676018,7.53774,-0.0044339941088287205
121.0,7.53769,549.9919205421704,7.53769,-0.004484523132971319
122.0,7.53769,550.0469163167389,7.53769,-0.004485056639837559
123.0,7.53697,550.1019120913076,7.53769,-0.0044855946299611205
124.0,7.53841,550.1569078658762,7.53833,-0.003846137103879599
125.0,7.53833,550.2119036404448,7.53833,-0.0038466834224024637
126.0,7.53754,550.2668994150133,7.53754,-0.004637233586074707
127.0,7.53622,550.3218951895819,7.53748,-0.004697788385114698
128.0,7.53748,550.3768909641506,7.53632,-0.0058583478800535715
129.0,7.53632,550.4318867387191,7.53632,-0.005858913230953888
130.0,7.5349,550.4868825132877,7.5349,-0.007279484438380557
131.0,7.53408,550.5418782878563,7.5348,-0.007380062922284658
132.0,7.5348,550.5968740624248,7.5348,-0.007380648783196442
