,Pixels #,Intensity (a.u.),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.),Wavelength (nm)
0,0.0,7.61613,7.61613,0.0047500950036081235,543.3405527600188
1,1.0,7.61649,7.61649,0.0051100997519606395,543.395516594313
2,2.0,7.61701,7.61701,0.005630109608563139,543.4504804286071
3,3.0,7.61882,7.61834,0.00696012509327204,543.5054442629013
4,4.0,7.61834,7.61882,0.007440147535747066,543.5604080971955
5,5.0,7.62012,7.61925,0.007870177415892243,543.6153719314896
6,6.0,7.61925,7.62012,0.008740215163635767,543.6703357657838
7,7.0,7.62036,7.61956,0.00818026164882557,543.725299600078
8,8.0,7.61956,7.61956,0.008180316311628744,543.780263434372
9,9.0,7.61874,7.61956,0.008180379152100237,543.8352272686662
10,10.0,7.61965,7.61926,0.007880450170302922,543.8901911029604
11,11.0,7.61926,7.61926,0.007880529066373043,543.9451549372545
12,12.0,7.61721,7.61721,0.005830615840391573,544.0001187715487
13,13.0,7.61579,7.6162,0.004820708442966115,544.0550826058429
14,14.0,7.6162,7.6162,0.004820805864485855,544.110046440137
15,15.0,7.61715,7.61715,0.005770908105047212,544.1650102744312
16,16.0,7.61958,7.6187,0.007321016114473444,544.2199741087254
17,17.0,7.6187,7.6187,0.007321131442466822,544.2749379430195
18,18.0,7.61796,7.61796,0.006581254089142341,544.3299017773137
19,19.0,7.61752,7.61752,0.006141383314808735,544.3848656116079
20,20.0,7.61607,7.61607,0.004691518679711848,544.439829445902
21,21.0,7.61474,7.61574,0.004361658734407747,544.4947932801962
22,22.0,7.61574,7.61474,0.0033618031491418066,544.5497571144904
23,23.0,7.61414,7.61574,0.004361950924385738,544.6047209487845
24,24.0,7.61666,7.61666,0.0052821030599607965,544.6596847830787
25,25.0,7.61674,7.61674,0.00536226047573507,544.7146486173729
26,26.0,7.61856,7.61755,0.0061724232518436395,544.769612451667
27,27.0,7.61755,7.61856,0.00718259219822226,544.8245762859611
28,28.0,7.61974,7.61974,0.008362768324777115,544.8795401202553
29,29.0,7.61984,7.61984,0.008462952811409963,544.9345039545495
30,30.0,7.62039,7.62,0.008623145758285489,544.9894677888436
31,31.0,7.62,7.62039,0.009013347325560694,545.0444316231378
32,32.0,7.62043,7.62,0.008623557903356449,545.099395457432
33,33.0,7.61842,7.61909,0.007713777101964858,545.1543592917261
34,34.0,7.61909,7.61877,0.007394004011805677,545.2093231260203
35,35.0,7.61877,7.61909,0.00771423831318252,545.2642869603145
36,36.0,7.61961,7.61888,0.007504480326253393,545.3192507946086
37,37.0,7.61888,7.61888,0.007504729841309121,545.3742146289028
38,38.0,7.61877,7.61877,0.007394986858598962,545.429178463197
39,39.0,7.61796,7.61877,0.0073952512684059,545.4841422974911
40,40.0,7.61967,7.61796,0.006585523070995691,545.5391061317853
41,41.0,7.61689,7.61801,0.006635801456842394,545.5940699660795
42,42.0,7.61801,7.61801,0.006636086476212277,545.6490338003736
43,43.0,7.61868,7.61868,0.0073063781293898344,545.7039976346678
44,44.0,7.62092,7.62063,0.0092566770864968,545.758961468962
45,45.0,7.62063,7.62063,0.00925698529740604,545.813925303256
46,46.0,7.62019,7.62019,0.008817302762423651,545.8688891375502
47,47.0,7.61931,7.61931,0.007937629041955496,545.9238529718444
48,48.0,7.61864,7.61931,0.007937963256519076,545.9788168061385
49,49.0,7.62135,7.62123,0.009858305406448054,546.0337806404327
50,50.0,7.62123,7.62123,0.009858657411691674,546.0887444747269
51,51.0,7.61891,7.61891,0.007539019272601699,546.143708309021
52,52.0,7.61783,7.61783,0.006459388670024602,546.1986721433152
53,53.0,7.6159,7.61612,0.0047497645246012965,546.2536359776094
54,54.0,7.61612,7.61612,0.004750145127197847,546.3085998119035
55,55.0,7.61671,7.61671,0.005340530478195049,546.3635636461977
56,56.0,7.61723,7.61723,0.005860921167798239,546.4185274804919
57,57.0,7.61796,7.61796,0.006591317716250877,546.473491314786
58,58.0,7.6181,7.6181,0.0067317208537511775,546.5284551490802
59,59.0,7.61935,7.61882,0.007452130720666084,546.5834189833744
60,60.0,7.61882,7.61882,0.007452548037225171,546.6383828176685
61,61.0,7.61774,7.61774,0.0063729728038453,546.6933466519627
62,62.0,7.61606,7.61606,0.00469340394122586,546.7483104862569
63,63.0,7.61348,7.61514,0.003773839770283338,546.8032743205509
64,64.0,7.61514,7.61514,0.003774279371745237,546.8582381548451
65,65.0,7.61704,7.61621,0.004844722746052632,546.9132019891393
66,66.0,7.61621,7.61628,0.0049151709633070695,546.9681658234334
67,67.0,7.61628,7.61621,0.004845624093936074,547.0231296577276
68,68.0,7.61521,7.61628,0.004916082068412209,547.0780934920218
69,69.0,7.61711,7.61711,0.005746544957172084,547.1330573263159
