,Center (nm),Intensity (AU),FWHM (nm),Error (nm)
0,585.2650242264828,2.279058428936792,0.5235348100740571,0.0160242264827275
1,588.2047507942344,0.17813951899521996,0.5357703023134344,0.015750794234463683
2,594.4930820448017,0.30887814435182115,0.5359952515441313,0.010082044801720258
3,607.4338915342041,0.31502317136555114,0.5447834789475775,-0.00010846579584722349
4,609.6124699405392,0.5351087649438995,0.5472734017981484,-0.0035300594607861058
5,614.2963376853703,0.7564999428696053,0.549604945299567,-0.009662314629736102
6,616.3446505510533,0.22626168429114824,0.5424952839939603,-0.014349448946745724
7,621.7093640978536,0.15903958890315106,0.5265991243246314,-0.018635902146343142
8,626.6343971624677,0.45239522070374516,0.5553860961748209,-0.014602837532265767
9,630.4640488772253,0.18248225431405718,0.531543322396616,-0.01495112277473254
10,633.4302964120432,0.4264784043168719,0.5551007684457773,-0.012703587956821139
11,638.2940093682456,0.7165599304742507,0.5621075335693696,-0.004990631754367314
12,640.2205638278971,1.0709671133225767,0.5646942276904163,-0.004436172102941782
13,650.6771902563032,0.7817917171288995,0.5572094053425654,0.02419025630319993
14,653.3199232212789,0.2145011554007521,0.5269269263622077,0.031923221278930214
