Center (nm),Intensity (AU),FWHM (nm),Error (nm)
585.2649474966069,2.2827267630174912,0.5234215809101087,0.01594749660682737
588.2047598453084,0.1790773609441926,0.5387644840776488,0.01575984530848018
594.4930095092119,0.3113415712433739,0.5402957178970564,0.010009509211954537
607.433872311419,0.32071435246557783,0.554977133926004,-0.00012768858096023905
609.6122408912696,0.5415166242254777,0.5544435350835253,-0.0037591087303781023
614.2961603555104,0.7645570578886872,0.555259893895376,-0.009839644489602506
616.3450079814353,0.23506622422331672,0.5651355226942747,-0.013992018564749742
621.7098922012909,0.169940607579914,0.5679177516311267,-0.01810779870902479
626.63433903703,0.4651850760222426,0.5707915039010891,-0.01466096296996966
630.4648055853002,0.19663345713433555,0.5778934705844436,-0.014194414699886693
633.4302179902268,0.4416445517081621,0.5769712354429483,-0.012782009773218306
638.2935826603638,0.7468276811153294,0.5752551032232751,-0.005417339636210272
640.2198727026378,1.1010227224083295,0.5735843097699456,-0.005127297362264471
650.6764635638184,0.8139749722288989,0.5738029399908942,0.023463563818381772
653.3208278685719,0.23840001354570867,0.5926210312733301,0.03282786857187148
