,Pixels #,Intensity (a.u.),Baselined Intensity (a.u.),Wavelength (nm)
0,0.0,7.55784,-0.01156856564706743,545.6871717927984
1,1.0,7.55856,-0.010848577195702092,545.742075526874
2,2.0,7.55856,-0.010848599574620366,545.7969792609497
3,3.0,7.55948,-0.009928632783843483,545.8518829950253
4,4.0,7.55633,-0.013078675905420667,545.906786729101
5,5.0,7.55648,-0.012928732082139405,545.9616904631766
6,6.0,7.55633,-0.013078801164422948,546.0165941972523
7,7.0,7.55648,-0.012928883301972505,546.0714979313279
8,8.0,7.55812,-0.011288978345238121,546.1264016654036
9,9.0,7.55812,-0.011289084658193893,546.1813053994792
10,10.0,7.55539,-0.014019202240945106,546.2362091335549
11,11.0,7.55539,-0.014019333817000934,546.2911128676304
12,12.0,7.55765,-0.011759479386493688,546.3460166017061
13,13.0,7.55765,-0.011759636695091835,546.4009203357817
14,14.0,7.55894,-0.010469805742951088,546.4558240698574
15,15.0,7.55792,-0.011489985243161804,546.510727803933
16,16.0,7.55792,-0.011490176213608372,546.5656315380087
17,17.0,7.55792,-0.011490378654478661,546.6205352720843
18,18.0,7.55598,-0.013430592565975452,546.67543900616
19,19.0,7.55598,-0.013430819883654799,546.7303427402356
20,20.0,7.55598,-0.01343106060774435,546.7852464743113
21,21.0,7.55468,-0.01473131473848266,546.840150208387
22,22.0,7.55691,-0.012501583572788633,546.8950539424626
23,23.0,7.55629,-0.013121864886543655,546.9499576765382
24,24.0,7.55691,-0.012502159298517057,547.0048614106139
25,25.0,7.55632,-0.013092466190514962,547.0597651446895
26,26.0,7.55693,-0.012482786151404746,547.1146688787652
27,27.0,7.55696,-0.012453118572990363,547.1695726128409
28,28.0,7.55746,-0.011953463425676603,547.2244763469165
29,29.0,7.55795,-0.01146382021099246,547.2793800809922
30,30.0,7.55992,-0.009494188440434037,547.3342838150678
31,31.0,7.56,-0.009414566148702619,547.3891875491433
32,32.0,7.5616,-0.007814953256340296,547.444091283219
33,33.0,7.5616,-0.007815348166952063,547.4989950172946
34,34.0,7.55992,-0.00949575088093102,547.5538987513703
35,35.0,7.5568,-0.012616163075294118,547.608802485446
36,36.0,7.55992,-0.009496587863405459,547.6637062195216
37,37.0,7.56006,-0.00935702213273526,547.7186099535973
38,38.0,7.56195,-0.007467465744009694,547.7735136876729
39,39.0,7.56195,-0.007467916811433106,547.8284174217486
40,40.0,7.55875,-0.010668375335456837,547.8833211558242
41,41.0,7.55706,-0.012358844509953393,547.9382248898999
42,42.0,7.55578,-0.013639326021493758,547.9931286239755
43,43.0,7.55578,-0.013639821147414466,548.0480323580512
44,44.0,7.55744,-0.011980329888210406,548.1029360921268
45,45.0,7.55744,-0.011980850588432013,548.1578398262025
46,46.0,7.55744,-0.011981383248598654,548.2127435602781
47,47.0,7.56037,-0.009051927869240473,548.2676472943538
48,48.0,7.56049,-0.008932481527359926,548.3225510284294
49,49.0,7.56049,-0.008933044103754284,548.3774547625051
50,50.0,7.55847,-0.010953615598986666,548.4323584965807
51,51.0,7.55764,-0.011784198029290316,548.4872622306564
52,52.0,7.5574,-0.012024792223342295,548.5421659647319
53,53.0,7.55764,-0.011785398421173099,548.5970696988076
54,54.0,7.5574,-0.012026016383949845,548.6519734328832
55,55.0,7.5588,-0.010626646351726166,548.7068771669589
56,56.0,7.55728,-0.012147286928330558,548.7617809010345
57,57.0,7.55731,-0.012117939630917007,548.8166846351102
