Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
117.0,0.784752,552.1052579915485,0.785594,-0.006292214152342712
118.0,0.785594,552.1601627891424,0.785594,-0.006292797088250146
119.0,0.791239,552.2150675867365,0.785594,-0.006293386279708213
120.0,0.784953,552.2699723843305,0.787463,-0.004424981727298771
121.0,0.787463,552.3248771819245,0.78514,-0.006748581577448176
122.0,0.78514,552.3797819795185,0.785432,-0.006457188134824876
123.0,0.785432,552.4346867771125,0.785432,-0.006457801110676731
124.0,0.789429,552.4895915747065,0.78671,-0.0051804205056087405
125.0,0.78671,552.5444963723005,0.78671,-0.005181045052916611
126.0,0.785425,552.5994011698946,0.78671,-0.005181674753217846
127.0,0.786874,552.6543059674885,0.786874,-0.005018309607135452
128.0,0.788332,552.7092107650825,0.786874,-0.0050189494525608724
129.0,0.785479,552.7641155626766,0.786722,-0.005171594290127257
130.0,0.786722,552.8190203602705,0.786722,-0.005172244271301807
131.0,0.787679,552.8739251578645,0.787679,-0.004215899396727396
132.0,0.790238,552.9288299554586,0.787679,-0.004216558717073826
133.0,0.783238,552.9837347530525,0.788631,-0.0032652222329940805
134.0,0.788631,553.0386395506466,0.786027,-0.0058698889993032966
135.0,0.786027,553.0935443482406,0.786301,-0.005596561601854844
136.0,0.786301,553.1484491458345,0.786027,-0.005871239769583592
137.0,0.785733,553.2033539434286,0.785733,-0.006165923774889115
138.0,0.785322,553.2582587410226,0.785733,-0.0061666139099343376
139.0,0.790477,553.3131635386167,0.786736,-0.005164310175400977
140.0,0.786736,553.3680683362106,0.786736,-0.005165011577227374
141.0,0.785255,553.4229731338046,0.786736,-0.00516571811610711
142.0,0.788757,553.4778779313987,0.788379,-0.003523429792739008
143.0,0.788379,553.5327827289926,0.788443,-0.003460144976366042
144.0,0.788443,553.5876875265866,0.788379,-0.003524863604096873
145.0,0.785023,553.6425923241807,0.788443,-0.003461585740244466
146.0,0.78914,553.6974971217746,0.786173,-0.0057323113219247546
147.0,0.786173,553.7524019193687,0.786173,-0.005733042603388805
148.0,0.786154,553.8073067169627,0.786173,-0.005733779585359033
149.0,0.789702,553.8622115145566,0.786715,-0.005192522268563926
150.0,0.786715,553.9171163121507,0.789702,-0.002206270116098419
151.0,0.790683,553.9720211097447,0.786715,-0.005194020160931734
152.0,0.785633,554.0269259073388,0.786725,-0.0051847753715761336
153.0,0.786725,554.0818307049327,0.786725,-0.005185535738856495
154.0,0.79166,554.1367355025267,0.786725,-0.005186301263524928
155.0,0.785782,554.1916403001208,0.787162,-0.004750071946338474
156.0,0.787162,554.2465450977147,0.786159,-0.005753847354379449
157.0,0.786159,554.3014498953087,0.786159,-0.00575462848353514
158.0,0.78538,554.3563546929028,0.786159,-0.005755415334577241
159.0,0.796449,554.4112594904967,0.787234,-0.0046812079082834135
160.0,0.787234,554.4661642880908,0.787234,-0.0046820051388514194
161.0,0.786663,554.5210690856848,0.786864,-0.0050528070270703385
162.0,0.786864,554.5759738832787,0.786864,-0.005053613940955715
163.0,0.787178,554.6308786808728,0.786864,-0.005054425881306002
164.0,0.78612,554.6857834784668,0.78612,-0.00579924284892408
165.0,0.785489,554.7406882760608,0.785741,-0.006179065582651466
166.0,0.785741,554.7955930736548,0.785741,-0.00617989445906697
167.0,0.78703,554.8504978712488,0.785741,-0.006180729478989178
168.0,0.785484,554.9054026688428,0.78684,-0.005082570643242801
169.0,0.78684,554.9603074664368,0.78684,-0.005083416862679768
170.0,0.787196,555.0152122640308,0.78684,-0.005084268138137338
171.0,0.78469,555.0701170616248,0.787196,-0.004729124470457369
